collected_at,site,group,group_label,leg,origin,destination,flight_date,price_brl,url,status,note
2026-09-15T15:30:54,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1442.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-15T15:31:01,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,928.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-15T15:31:04,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,859.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-16T15:23:13,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1527.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-16T15:23:19,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,927.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-16T15:23:22,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1110.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-17T15:30:03,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1533.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-17T15:30:09,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,718.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-17T15:30:12,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1294.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-18T14:53:59,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1533.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-18T14:54:05,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,638.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-18T14:54:08,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,763.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-19T14:17:52,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1194.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-19T14:17:58,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,712.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
